date,open,high,low,close,volume
2016-04-21,110.054,111.5899,109.9253,110.7456,1492600
2016-04-22,110.9948,111.3165,109.7162,110.8903,1140100
2016-04-25,110.2068,110.7696,109.7645,109.9977,951500
2016-04-26,110.5767,111.7748,110.3596,111.5416,1468500
2016-04-27,111.7748,115.9161,111.4532,115.4819,2888100
2016-04-28,114.3561,115.3532,113.1177,113.5118,1783000
2016-04-29,112.6594,113.2464,111.7748,112.9971,1893500
2016-05-02,113.1579,114.8305,112.5548,114.0505,1529100
2016-05-03,113.4957,114.8466,112.6352,114.4606,1291700
2016-05-04,114.1792,114.4687,113.1097,113.7289,958200
2016-05-05,113.9138,114.6697,113.3911,114.348,1429000
2016-05-06,114.1792,115.5302,113.9701,115.3452,1780800
2016-05-09,115.2165,116.4066,114.7582,114.9672,1400000
2016-05-10,115.5865,117.243,115.4739,117.1706,1565000
2016-05-11,117.1947,117.6531,116.3664,116.5675,1383500
2016-05-12,116.3906,117.3877,116.0287,116.8489,1372100
2016-05-13,116.4951,117.1464,115.9322,116.093,991200
2016-05-16,115.8438,117.251,115.7955,116.8972,937300
2016-05-17,116.9454,118.3366,116.0046,116.5996,1557500
2016-05-18,116.0448,117.3395,115.3211,116.0448,1154400
2016-05-19,115.3612,115.7633,114.4365,115.4658,1236900
2016-05-20,116.1815,116.5514,115.5703,116.294,1194500
2016-05-23,116.0207,116.3021,114.3883,114.3883,1632000
2016-05-24,114.7903,115.2809,114.7662,114.9592,1977800
2016-05-25,115.3532,115.4417,114.6295,114.9672,1349500
2016-05-26,114.9512,115.2165,114.5652,114.8547,951400
2016-05-27,114.8306,115.3371,114.8225,115.0959,761100
2016-05-31,115.4256,115.7231,113.8173,114.0827,1690900
2016-06-01,114.0827,114.0827,113.359,113.761,5111200
2016-06-02,113.3187,113.761,112.5709,112.6835,2087000
2016-06-03,112.587,113.2785,111.5818,112.7639,2602400
2016-06-06,113.0051,113.5841,112.6111,112.8523,979900
2016-06-07,113.1821,114.0344,113.0293,113.4313,1826600
2016-06-08,113.2786,113.9219,113.0615,113.7771,870500
2016-06-09,113.5359,114.2918,113.3831,114.1711,1347100
2016-06-10,113.5198,114.2596,113.4072,113.8093,1400800
2016-06-13,113.5439,113.8817,111.799,111.8633,1390800
2016-06-14,111.7668,112.1447,111.2119,112.1206,1084100
2016-06-15,112.3779,113.2303,112.201,112.6674,1462200
2016-06-16,112.2091,113.1017,111.3165,112.386,946200
2016-06-17,112.4985,112.6513,111.035,111.7668,1520400
2016-06-20,112.9167,113.8334,112.5548,113.3188,1897400
2016-06-21,113.56,113.8495,112.1045,112.1045,1597100
2016-06-22,112.402,112.8925,111.4612,111.6059,1359900
2016-06-23,112.6996,112.6996,111.6703,112.4021,1017900
2016-06-24,109.274,111.6783,108.5824,109.475,4483700
2016-06-27,108.5583,108.9202,106.6927,106.9983,2301500
2016-06-28,108.2045,108.2045,106.7972,107.7059,1912100
2016-06-29,108.9675,109.8248,107.7625,109.6873,1299900
2016-06-30,109.8409,112.8494,109.8328,112.6068,2677000
2016-07-01,112.8332,114.4668,112.817,114.3051,3943000
2016-07-05,113.9735,114.0301,111.4341,111.9355,1948700
2016-07-06,111.7172,113.2457,110.5607,113.1324,1998700
2016-07-07,112.9707,113.9492,111.8951,112.162,1439200
2016-07-08,112.8656,113.8684,112.4935,113.6096,2033900
2016-07-11,113.6743,114.7984,113.6743,114.1838,1331400
2016-07-12,114.9197,115.3968,114.3859,114.4668,1853700
2016-07-13,114.5962,115.1785,114.3617,114.6204,1100700
