date,open,high,low,close,volume
2016-04-18,161.4092,162.8097,160.332,162.6229,578000
2016-04-19,162.9677,165.1078,162.4578,164.6554,469400
2016-04-20,164.6913,164.7703,159.6712,160.016,370900
2016-04-21,159.4487,162.1346,158.8741,159.6497,431200
2016-04-22,159.9298,161.8976,159.3912,161.2369,269200
2016-04-25,160.7629,163.4201,160.7629,163.3555,267500
2016-04-26,163.3268,164.6482,161.359,161.8976,408600
2016-04-27,160.7054,161.5888,158.673,161.3374,556000
2016-04-28,160.9281,163.6499,160.411,161.1076,379000
2016-04-29,160.691,161.3589,157.172,158.3211,971200
2016-05-02,157.5814,160.6336,157.2798,160.1022,384900
2016-05-03,159.147,160.7341,158.6083,160.5259,385300
2016-05-04,159.3194,163.4201,159.0752,162.2423,406900
2016-05-05,163.2405,165.1796,163.0897,164.368,298100
2016-05-06,164.3969,166.853,162.149,166.7309,305800
2016-05-09,166.8961,168.0452,166.8961,167.7004,377500
2016-05-10,168.7705,170.5659,167.4777,169.5676,517700
2016-05-11,169.5533,169.5533,165.1222,165.6105,335600
2016-05-12,165.7398,166.0342,163.4273,165.1293,323900
2016-05-13,164.9498,165.0934,163.0538,163.5637,242600
2016-05-16,164.1886,165.589,163.1185,164.8134,306800
2016-05-17,164.4902,164.8134,160.016,161.0717,451900
2016-05-18,160.7198,161.5888,158.2493,160.5259,432900
2016-05-19,159.3337,159.3624,157.6101,158.9459,283100
2016-05-20,159.9657,160.5977,158.831,160.0304,322300
2016-05-23,160.375,160.9065,159.4127,159.5563,196600
2016-05-24,160.9066,161.3446,159.5492,160.5044,349100
2016-05-25,160.7701,162.5727,159.6354,162.307,426700
2016-05-26,162.034,163.1688,161.2441,163.0826,273800
2016-05-27,163.3411,164.3394,161.8617,162.9533,262700
2016-05-31,162.9174,163.5637,161.1507,163.1903,371200
2016-06-01,161.9479,161.9766,156.6334,157.2295,804700
2016-06-02,157.0715,157.8758,155.4268,156.5975,541000
2016-06-03,156.777,157.9979,152.8558,153.1431,1072500
2016-06-06,152.9276,153.8253,149.6097,150.8162,592000
2016-06-07,151.5272,152.5255,149.8683,150.2417,396500
2016-06-08,148.8268,150.5505,148.8053,150.2345,437700
2016-06-09,150.2345,151.4769,149.8538,150.2847,443300
2016-06-10,149.387,150.8521,149.0208,150.3422,403700
2016-06-13,150.5648,153.258,150.335,151.7929,633600
2016-06-14,151.6924,153.3011,151.0173,152.4464,407300
2016-06-15,152.7912,156.3317,152.7912,155.3981,530900
2016-06-16,155.0103,156.26,154.4142,156.181,290400
2016-06-17,155.9727,157.2079,154.0623,156.5903,714100
2016-06-20,158.1703,159.1254,156.7914,157.0212,367500
2016-06-21,157.6173,158.5581,157.2079,157.9117,281800
2016-06-22,158.2421,159.2978,157.3013,158.1559,306200
2016-06-23,159.1757,159.2476,156.4467,156.8848,379600
2016-06-24,153.6458,157.7034,152.9994,155.7715,862400
2016-06-27,154.7805,157.5526,154.1485,156.9565,519800
2016-06-28,158.3239,161.5361,157.7813,161.4999,544900
2016-06-29,162.9613,164.2925,161.8038,162.4332,364100
2016-06-30,162.7805,165.016,161.1961,165.016,385000
2016-07-01,165.016,166.1374,164.2853,165.4212,292600
2016-07-05,165.754,168.1848,165.754,167.2733,453900
2016-07-06,166.7885,167.7797,165.6599,166.4413,360900
2016-07-07,166.434,166.434,164.4372,165.5007,347300
2016-07-08,167.1141,168.2572,165.7539,167.36,353100
2016-07-11,167.5843,168.0329,166.1374,167.36,202800
2016-07-12,167.6567,168.5827,166.3617,167.8954,326700
2016-07-13,168.7491,169.6462,167.6929,169.4798,231900
2016-07-14,170.3263,170.3263,165.5876,166.065,299100
2016-07-15,165.602,166.3183,162.7226,163.938,448600
2016-07-18,163.7716,164.6615,162.2089,163.2363,483500
2016-07-19,162.983,163.9308,162.1438,163.9308,383000
2016-07-20,164.0104,164.0104,162.2813,163.7572,258000
2016-07-21,163.4099,163.8729,162.2596,163.8223,267200
2016-07-22,163.8729,165.0088,163.8729,164.2202,402100
2016-07-25,164.5385,165.602,163.3014,163.7934,250800
2016-07-26,162.9324,163.4388,160.639,161.1382,346000
2016-07-27,159.3512,159.8866,157.1085,158.3022,918400
2016-07-28,158.2733,160.9212,157.7813,159.59,446400
2016-07-29,160.2266,169.487,160.2266,169.2049,1134600
2016-08-01,169.1036,171.1438,168.5827,169.7403,485700
2016-08-02,169.0747,169.6462,166.9766,167.4903,343600
2016-08-03,167.7435,167.7435,166.1446,166.7089,283200
2016-08-04,167.0707,167.0707,165.754,166.0433,236100
2016-08-05,166.2604,167.1285,165.2041,166.8391,200200
2016-08-08,167.1141,170.7314,166.8391,168.7129,314100
2016-08-09,168.9372,169.3496,167.7507,168.9951,367500
2016-08-10,169.27,169.9284,167.4614,168.3585,248800
2016-08-11,168.2933,169.5739,163.9236,165.4428,449100
2016-08-12,165.4501,168.2354,164.647,165.9782,384200
2016-08-15,165.8769,168.3078,165.8769,167.5916,279800
2016-08-16,166.8246,167.4613,165.6888,166.4702,279200
2016-08-17,166.6077,166.6077,162.8746,164.9726,301500
2016-08-18,164.5168,165.5948,163.692,164.6543,211400
2016-08-19,164.0393,164.0393,161.4855,162.4766,287200
2016-08-22,162.8529,163.598,161.348,162.0715,180800
2016-08-23,162.4766,162.9469,161.594,162.0715,192500
